iter	RMSE
0	0.2230923652
1	0.2229883986
2	0.2228921722
3	0.2227911717
4	0.2226877941
5	0.2226005426
6	0.2224887445
7	0.2223652497
8	0.2222710146
9	0.2221727721
10	0.2220981442
11	0.2219963522
12	0.2219084833
13	0.2218356447
14	0.2217377223
15	0.2216408638
16	0.2215321931
17	0.2214545917
18	0.2213503345
19	0.2212814802
20	0.2212050042
21	0.2211133709
22	0.221027132
23	0.2209332902
24	0.2208367135
25	0.2207524218
26	0.2206892255
27	0.2205968464
28	0.2205210967
29	0.2204332871
30	0.2203618761
31	0.220294437
32	0.2202135542
33	0.220132793
34	0.2200130029
35	0.2199111519
36	0.2198160309
37	0.2197275077
38	0.2196558184
39	0.2195974974
40	0.2195109104
41	0.2194443665
42	0.2193348342
43	0.2192524137
44	0.219178107
45	0.2190739299
46	0.2189835108
47	0.2189246452
48	0.2188417874
49	0.2187479071
50	0.2186503587
51	0.2185684529
52	0.2184838854
53	0.2184091197
54	0.2183293714
55	0.2182640021
56	0.2181730368
57	0.2181044663
58	0.2180230013
59	0.2179175662
60	0.2178288906
61	0.2177359735
62	0.2176681448
63	0.2175893654
64	0.2175458998
65	0.2174675796
66	0.2173862644
67	0.2173000059
68	0.2172053475
69	0.2170969726
70	0.2170012921
71	0.2169394561
72	0.2168637863
73	0.2167973324
74	0.2167065128
75	0.216626963
76	0.2165415741
77	0.216445266
78	0.2163648527
79	0.2162783789
80	0.2161920331
81	0.2161231218
82	0.2160537903
83	0.2159658896
84	0.2158702232
85	0.2157805566
86	0.215695081
87	0.2156057416
88	0.2154997447
89	0.2154354029
90	0.2153299835
91	0.2152733811
92	0.2152244135
93	0.2151435217
94	0.215084406
95	0.2149931443
96	0.2149190994
97	0.2148293746
98	0.2147387074
99	0.2146494417
100	0.2145740168
101	0.2145056324
102	0.214436987
103	0.2143472539
104	0.2142852534
105	0.214225348
106	0.2141354816
107	0.2140520936
108	0.2139859455
109	0.2138967121
110	0.21382272
111	0.2137528117
112	0.2136833984
113	0.2136030869
114	0.21354592
115	0.2134655657
116	0.2134148091
117	0.2133140934
118	0.2132312423
119	0.2131429425
120	0.2130490546
121	0.2129979693
122	0.2129227833
123	0.2128606681
124	0.2127962089
125	0.2127170258
126	0.2126429643
127	0.2125874636
128	0.2124943304
129	0.2124212021
130	0.2123262419
131	0.2122530608
132	0.2121905487
133	0.2121169227
134	0.2120439212
135	0.2119420483
136	0.2118587359
137	0.2117850925
138	0.2117268305
139	0.211640246
140	0.2115447646
141	0.2114776543
142	0.211406506
143	0.2113258256
144	0.2112360339
145	0.211189431
146	0.2111080542
147	0.2110472545
148	0.21097641
149	0.210908941
150	0.2108394513
151	0.2107486684
152	0.2106583337
153	0.2105942025
154	0.2105609059
155	0.2105223313
156	0.2104325095
157	0.2103719201
158	0.2102794644
159	0.2102121849
160	0.2101303935
161	0.2100561175
162	0.2099778497
163	0.2099157892
164	0.2098303811
165	0.2097551135
166	0.2096722319
167	0.2096010108
168	0.2095102168
169	0.2094296052
170	0.2093618058
171	0.2092654088
172	0.2092157376
173	0.209160994
174	0.209091629
175	0.2090235005
176	0.2089537742
177	0.2088985084
178	0.2088462113
179	0.2087659256
180	0.2086954754
181	0.2086368871
182	0.2085511931
183	0.2084915561
184	0.2084042743
185	0.2083643054
186	0.2082979384
187	0.2082525791
188	0.2081720275
189	0.2080954613
190	0.208014548
191	0.2079330237
192	0.2078823948
193	0.2078163232
194	0.2077725659
195	0.2077037519
196	0.2076461755
197	0.2075747123
198	0.2075124101
199	0.2074423231
200	0.2073563734
201	0.2072924601
202	0.2071981628
203	0.2071098176
204	0.2070369414
205	0.2069332597
206	0.2068588697
207	0.206782102
208	0.2066930925
209	0.2066235163
210	0.2065329761
211	0.2064414953
212	0.2063709422
213	0.2062852203
214	0.206195236
215	0.2061175077
216	0.2060436054
217	0.2059867814
218	0.2059128703
219	0.2058418328
220	0.2057612475
221	0.2056954323
222	0.2056200515
223	0.205557293
224	0.20548509
225	0.2054051143
226	0.2053299359
227	0.2052365829
228	0.2051725096
229	0.2050700742
230	0.2049913057
231	0.2049022876
232	0.2048197463
233	0.2047618062
234	0.2046813263
235	0.2046166695
236	0.204537116
237	0.2044607966
238	0.2043829857
239	0.2043182461
240	0.2042261452
241	0.2041318725
242	0.2040687992
243	0.2040030484
244	0.2039177154
245	0.2038610183
246	0.2037831389
247	0.2037141866
248	0.2036799548
249	0.2036206926
250	0.2035438692
251	0.2034838247
252	0.2034312025
253	0.2033548287
254	0.2032658811
255	0.2032034825
256	0.203133157
257	0.2030686447
258	0.2030061889
259	0.2029420201
260	0.2028805256
261	0.2027790049
262	0.2027035363
263	0.2026315657
264	0.2025773023
265	0.2025243477
266	0.2024731568
267	0.202381639
268	0.2023167687
269	0.2022247421
270	0.2021580716
271	0.2021058017
272	0.2020326145
273	0.2019695262
274	0.2018827295
275	0.2018375982
276	0.2017793766
277	0.2016986644
278	0.2016382224
279	0.201574939
280	0.2015078374
281	0.2014341665
282	0.2013546943
283	0.2012867458
284	0.2011961418
285	0.2011280055
286	0.2010638329
287	0.2009954065
288	0.200930451
289	0.2008860612
290	0.2008156934
291	0.2007300894
292	0.2006640709
293	0.2005997512
294	0.2005538204
295	0.2005028026
296	0.2004283668
297	0.2003640823
298	0.2003103413
299	0.200244578
300	0.2001907657
301	0.200097407
302	0.2000374769
303	0.1999932093
304	0.1999297456
305	0.1998864984
306	0.1998123079
307	0.1997550742
308	0.1997033959
309	0.199622577
310	0.1995321673
311	0.1994795455
312	0.1994276681
313	0.1993592911
314	0.1992997947
315	0.1992392303
316	0.1991728368
317	0.1991295364
318	0.1990820569
319	0.1990205758
320	0.1989534904
321	0.1988917842
322	0.1988538735
323	0.1987869377
324	0.1987146037
325	0.198664759
326	0.198605123
327	0.1985494194
328	0.1984905715
329	0.198447177
330	0.1983793574
331	0.1983196352
332	0.1982550671
333	0.198183558
334	0.1981148883
335	0.1980565452
336	0.1979889876
337	0.1979205931
338	0.197877583
339	0.1978145499
340	0.1977443441
341	0.1976697116
342	0.1975989108
343	0.197524852
344	0.197470311
345	0.1973813411
346	0.1973236036
347	0.197268956
348	0.1972017873
349	0.1971358999
350	0.1970822126
351	0.1970248097
352	0.1969444237
353	0.1968676533
354	0.196818285
355	0.1967779686
356	0.1967166576
357	0.1966645152
358	0.1966252894
359	0.1965754627
360	0.1965083461
361	0.1964556196
362	0.1964181404
363	0.1963528322
364	0.1962964131
365	0.1962321376
366	0.1961735896
367	0.1961038498
368	0.1960673664
369	0.1959932734
370	0.1959408662
371	0.1958949301
372	0.1958347153
373	0.1957509074
374	0.195701305
375	0.1956318372
376	0.195574186
377	0.1955067719
378	0.195451402
379	0.1954189094
380	0.1953619767
381	0.1952971987
382	0.1952499534
383	0.1951851223
384	0.1950906278
385	0.1950285792
386	0.1949609042
387	0.1949016773
388	0.1948524339
389	0.1947888276
390	0.1947392974
391	0.1946904057
392	0.1946452682
393	0.1945961903
394	0.1945441591
395	0.1944572963
396	0.19440166
397	0.1943634023
398	0.1943108982
399	0.1942572142
400	0.1941963568
401	0.1941389054
402	0.1940776533
403	0.194007476
404	0.1939626044
405	0.1938857291
406	0.1938389354
407	0.19379016
408	0.1937378625
409	0.1936807521
410	0.1936263691
411	0.1935405269
412	0.1934910024
413	0.1934327011
414	0.1933817995
415	0.1933434988
416	0.1932956082
417	0.1932264182
418	0.1931564019
419	0.1931023818
420	0.1930433793
421	0.1929743011
422	0.1929191352
423	0.1928687303
424	0.1928158931
425	0.1927649593
426	0.1927158536
427	0.1926629835
428	0.192572095
429	0.1925279107
430	0.1924655711
431	0.1924039722
432	0.1923369507
433	0.1923047834
434	0.1922401533
435	0.1921919341
436	0.1921365055
437	0.1920844177
438	0.1920079139
439	0.1919515083
440	0.1919118784
441	0.1918448761
442	0.1917672956
443	0.1917203784
444	0.1916678722
445	0.1915913386
446	0.1915230751
447	0.1914637554
448	0.1914006874
449	0.1913337543
450	0.1912720814
451	0.1911992178
452	0.1911256553
453	0.1910700258
454	0.1910014635
455	0.1909235484
456	0.1908599342
457	0.1908096649
458	0.1907568887
459	0.1907182632
460	0.1906503218
461	0.1906017793
462	0.1905173921
463	0.1904601456
464	0.1904070032
465	0.1903300534
466	0.1902507277
467	0.1901803742
468	0.1901330884
469	0.1900643752
470	0.1900150817
471	0.1899456578
472	0.1898995977
473	0.1898360086
474	0.189790839
475	0.1897301109
476	0.1896712808
477	0.1896174234
478	0.189552299
479	0.1894898488
480	0.1894208577
481	0.1893545403
482	0.1893019384
483	0.1892474849
484	0.1892067456
485	0.1891527489
486	0.1891045407
487	0.189060164
488	0.1889749859
489	0.1889271643
490	0.188866358
491	0.1888030731
492	0.1887547547
493	0.1887118563
494	0.1886513221
495	0.1886018041
496	0.1885640236
497	0.1885013028
498	0.1884422727
499	0.188384046
500	0.1883391775
501	0.1883065549
502	0.1882517954
503	0.1881900432
504	0.1881383217
505	0.1880716365
506	0.1879923963
507	0.1879541946
508	0.1878918141
509	0.1878317973
510	0.1877845913
511	0.1877078906
512	0.1876320114
513	0.1875849101
514	0.1875282111
515	0.1874817471
516	0.1874248158
517	0.1873728
518	0.187298825
519	0.1872409533
520	0.1871703853
521	0.1871147633
522	0.1870598367
523	0.1870002662
524	0.1869614747
525	0.1869049695
526	0.1868512711
527	0.1868121432
528	0.1867524914
529	0.1866836675
530	0.1866059839
531	0.1865559471
532	0.1864976552
533	0.1864418612
534	0.186387328
535	0.1863141471
536	0.1862528772
537	0.1862107172
538	0.1861642823
539	0.1860854185
540	0.1860327134
541	0.185969131
542	0.1859237634
543	0.1858773461
544	0.1858326831
545	0.1857799507
546	0.1857366184
547	0.1856848026
548	0.1856180712
549	0.1855620909
550	0.1855032856
551	0.1854428345
552	0.1854136335
553	0.1853645593
554	0.185322563
555	0.1852631406
556	0.1851953348
557	0.1851652328
558	0.185110671
559	0.1850540379
560	0.1849922541
561	0.1849171912
562	0.1848548833
563	0.1847808147
564	0.1847350449
565	0.1846856104
566	0.1846192773
567	0.1845593942
568	0.1845002727
569	0.1844244112
570	0.1843908966
571	0.1843406252
572	0.1842903312
573	0.1842343717
574	0.1841749256
575	0.1841213363
576	0.1840627539
577	0.1840309831
578	0.1839626873
579	0.1839231832
580	0.1838570577
581	0.183816354
582	0.183761931
583	0.1837143472
584	0.1836558745
585	0.1836108495
586	0.183544243
587	0.183487461
588	0.1834361892
589	0.1833938093
590	0.1833266129
591	0.1832910871
592	0.1832478554
593	0.183190143
594	0.1831442954
595	0.1830923615
596	0.1830274971
597	0.1829788173
598	0.182938499
599	0.1828850978
600	0.1828260534
601	0.1827827891
602	0.1827229102
603	0.1826537359
604	0.1825689672
605	0.18252956
606	0.182461519
607	0.1823945805
608	0.1823342333
609	0.1822704144
610	0.1822368729
611	0.1821823921
612	0.1821234
613	0.1820491652
614	0.1819868834
615	0.1819349268
616	0.1818568344
617	0.1817924214
618	0.1817230236
619	0.1816694285
620	0.1816178974
621	0.1815773115
622	0.1815251046
623	0.1814404541
624	0.1813938454
625	0.1813686637
626	0.1813138498
627	0.1812794341
628	0.1812167228
629	0.1811647428
630	0.1811086024
631	0.1810672951
632	0.1810140874
633	0.1809876023
634	0.1809333709
635	0.1808848176
636	0.1808434115
637	0.180805242
638	0.180739978
639	0.1806899808
640	0.1806257729
641	0.1805769106
642	0.1805371359
643	0.1804735897
644	0.1804417077
645	0.1803874352
646	0.1803321586
647	0.1802794667
648	0.1802234792
649	0.180164615
650	0.1801246607
651	0.1800824425
652	0.1800266622
653	0.1799629026
654	0.1799083294
655	0.179824698
656	0.1797969696
657	0.1797407161
658	0.1797038851
659	0.1796583488
660	0.1796099166
661	0.1795609943
662	0.179497467
663	0.1794389657
664	0.1793940459
665	0.179331105
666	0.1792909466
667	0.1792342794
668	0.1791753607
669	0.1791205245
670	0.1790796484
671	0.1790285437
672	0.1789845046
673	0.1789114972
674	0.1788477471
