iter	Passed	Remaining
0	1843	5529158
1	3817	5722144
2	5853	5847400
3	7822	5858721
4	10222	6123119
5	12423	6199122
6	14737	6301515
7	16675	6236671
8	18739	6227669
9	20596	6158272
10	22377	6080658
11	24444	6086623
12	26402	6066456
13	28254	6026318
14	30283	6026347
15	32174	6000468
16	34251	6010212
17	36155	5989827
18	38191	5992094
19	40135	5980255
20	42111	5973811
21	44126	5973107
22	46300	5992928
23	48495	6013437
24	50680	6030963
25	52844	6044651
26	54926	6048002
27	56870	6036418
28	58717	6015489
29	60713	6010592
30	62656	6000895
31	64591	5990878
32	66652	5992636
33	68692	5992431
34	70865	6003361
35	72943	6005703
36	75252	6026299
37	77265	6022622
38	79090	6004782
39	80940	5989597
40	82845	5979038
41	84739	5968076
42	86821	5970524
43	88755	5962769
44	90703	5956212
45	92895	5965519
46	94779	5955002
47	96574	5939351
48	98487	5931353
49	100478	5928253
50	102544	5929461
51	104528	5925941
52	106705	5933254
53	108846	5938197
54	110927	5939653
55	113088	5945211
56	115197	5947832
57	117009	5935214
58	118934	5928564
59	121026	5930283
60	122915	5922119
61	124901	5918738
62	126809	5911716
63	128825	5909870
64	130545	5894615
65	132527	5891438
66	134417	5884277
67	136258	5875153
68	138177	5869521
69	140149	5866253
70	142413	5875077
71	144462	5874793
72	146398	5869973
73	148321	5864714
74	150228	5858926
75	151859	5842575
76	153655	5832931
77	155471	5824193
78	157372	5818793
79	159378	5817328
80	161359	5814906
81	163281	5810426
82	165281	5808748
83	167387	5810746
84	169560	5814943
85	171534	5812229
86	173541	5810651
87	175605	5810938
88	177768	5814437
89	179593	5806848
90	181562	5804025
91	183395	5796892
92	185285	5791674
93	187063	5783061
94	188908	5776620
95	190698	5768622
96	192456	5759820
97	194348	5755098
98	196156	5747969
99	198019	5742553
100	199856	5736483
101	201802	5733568
102	203693	5729126
103	205474	5721664
104	207188	5712485
105	208955	5704870
106	210785	5699099
107	212672	5694889
108	214534	5690076
109	216518	5688527
110	218352	5683064
111	220181	5677540
112	222070	5673606
113	223910	5668468
114	225797	5664577
115	227639	5659591
116	229509	5655352
117	231437	5652561
118	233341	5649229
119	235348	5648356
120	237428	5649234
121	239151	5641628
122	240980	5636588
123	242782	5630980
124	244538	5624396
125	246223	5616244
126	247950	5609145
127	249838	5605746
128	251695	5601678
129	253519	5596930
130	255611	5598089
131	257517	5595149
132	259522	5594359
133	261496	5592892
134	263370	5589316
135	265377	5588540
136	267170	5583275
137	269090	5580705
138	270911	5576108
139	272753	5571965
140	274958	5575228
141	276961	5574334
142	278905	5572248
143	280622	5565674
144	282348	5559347
145	284106	5553706
146	286618	5562745
147	288826	5565765
148	290973	5567557
149	292950	5566058
150	294964	5565266
151	297020	5565223
152	299015	5564027
153	300909	5560960
154	302684	5555716
155	304471	5550751
156	306370	5547849
157	308246	5544535
158	310198	5542609
159	312174	5541102
160	314089	5538511
161	316138	5538281
162	318221	5538610
163	320166	5536529
164	322052	5533453
165	323947	5530524
166	325881	5528269
167	327722	5524465
168	329634	5521869
169	331556	5519445
170	333337	5514695
171	335202	5511360
172	336976	5506540
173	338693	5500842
174	340372	5494580
175	342122	5489504
176	343997	5486463
177	346024	5485845
178	348144	5486683
179	350090	5484753
180	352202	5485411
181	354151	5483503
182	356436	5486779
183	358253	5482829
184	360211	5481050
185	362130	5478679
186	364077	5476740
187	366019	5474716
188	368018	5473544
189	369975	5471737
190	372017	5471192
191	374112	5471397
192	375930	5467544
193	377770	5464037
194	379550	5459687
195	381317	5455174
196	383346	5454413
197	385171	5450758
198	386969	5446744
199	388761	5442655
200	390820	5442314
201	392739	5440027
202	394709	5438432
203	396481	5434129
204	398187	5428942
205	400195	5427894
206	402139	5425972
207	403960	5422396
208	406162	5423923
209	408090	5421772
210	410048	5420025
211	411990	5418069
212	413891	5415564
213	415788	5413026
214	417718	5410906
215	419692	5409368
216	421520	5405952
217	423336	5402400
218	425226	5399797
219	427100	5396994
220	429241	5397569
221	431366	5397905
222	433173	5394275
223	434888	5389511
224	436775	5386900
225	438675	5384452
226	440475	5380790
227	442384	5378467
228	444348	5376811
229	446388	5376067
230	448540	5376663
231	450605	5376195
232	452515	5373868
233	454341	5370550
234	456114	5366626
235	457979	5363796
236	459867	5361238
237	461703	5358089
238	463589	5355527
239	465837	5357132
240	468258	5360687
241	470238	5359160
242	472066	5355919
243	474037	5354297
244	475931	5351806
245	477901	5350161
246	479819	5347950
247	481659	5344863
248	483431	5341044
249	485514	5340658
250	487459	5338753
251	489311	5335822
252	491208	5333398
253	493097	5330889
254	495041	5328971
255	496804	5325120
256	498676	5322445
257	500693	5321320
258	502758	5320700
259	504958	5321486
260	507021	5320814
261	509316	5322552
262	511385	5321904
263	513320	5319862
264	515270	5317981
265	517315	5317074
266	519381	5316364
267	521373	5314901
268	523583	5315635
269	525929	5317735
270	528047	5317492
271	530022	5315815
272	531961	5313771
273	534016	5312875
274	536164	5312907
275	538276	5312552
276	540536	5313654
277	542726	5314032
278	544648	5311790
279	546669	5310501
280	548570	5308056
281	550633	5307167
282	552729	5306592
283	554757	5305359
284	556785	5304114
285	558737	5302145
286	560690	5300181
287	562584	5297673
288	564733	5297549
289	567041	5298904
290	569172	5298583
291	571100	5296366
292	573043	5294300
293	574878	5291232
294	576714	5288174
295	578616	5285742
296	580599	5284043
297	582523	5281810
298	584556	5280555
299	587988	5291892
300	590077	5291093
301	592266	5291178
302	594299	5289855
303	596278	5288047
304	598380	5287332
305	600340	5285348
306	602365	5283941
307	604402	5282638
308	606319	5280279
309	608421	5279532
310	610453	5278165
311	612250	5274773
312	614152	5272293
313	616171	5270813
314	618051	5268152
315	619944	5265600
316	621873	5263361
317	623888	5261855
318	625676	5258428
319	627532	5255581
320	629401	5252852
321	631450	5251628
322	633225	5248128
323	635281	5246957
324	637458	5246772
325	639527	5245692
326	641516	5243959
327	643430	5241602
328	645508	5240589
329	647419	5238215
330	649453	5236830
331	651415	5234869
332	653466	5233615
333	655530	5232471
334	657494	5230517
335	659456	5228549
336	661449	5226826
337	663495	5225514
338	665344	5222657
339	667578	5222820
340	669733	5222352
341	671832	5221432
342	673686	5218614
343	675502	5215509
344	677305	5212305
345	679411	5211442
346	681252	5208538
347	683017	5205067
348	684990	5203178
349	686881	5200674
350	688795	5198344
351	690577	5195022
352	692620	5193670
353	695042	5195151
354	697047	5193496
355	699060	5191899
356	700988	5189670
357	702865	5187069
358	704708	5184222
359	706830	5183421
360	708872	5182037
361	711001	5181276
362	713270	5181525
363	715412	5180845
364	717403	5179064
365	719561	5178481
366	721532	5176552
367	723667	5175795
368	725619	5173726
369	727665	5172327
370	729440	5168998
371	731287	5166189
372	733191	5163791
373	735201	5162137
374	737232	5160629
375	739175	5158501
376	741079	5156107
377	743172	5155019
378	745241	5153766
379	747081	5150927
380	749013	5148730
381	751146	5147911
382	752928	5144686
383	754954	5143124
384	757090	5142316
385	758975	5139799
386	760947	5137870
387	762756	5134845
388	764806	5133441
389	766877	5132180
390	768791	5129867
391	770744	5127807
392	772631	5125319
393	774651	5123711
394	776656	5122000
395	778598	5119876
396	780465	5117258
397	782305	5114468
398	784268	5112486
399	786116	5109757
400	787841	5106232
401	789550	5102616
402	791369	5099719
403	793267	5097331
404	795048	5094200
405	796909	5091586
406	798757	5088887
407	800537	5085767
408	802392	5083124
409	804235	5080414
410	805999	5077210
411	807961	5075253
412	809692	5071850
413	811530	5069125
414	813285	5065886
415	815093	5062985
416	816768	5059264
417	818777	5057614
418	820629	5055000
419	822512	5052579
420	824481	5050680
421	826625	5049858
422	828429	5046960
423	830192	5043811
424	832046	5041222
425	833962	5039011
426	835926	5037093
427	837815	5034723
428	839834	5033131
429	841612	5030103
430	843444	5027396
431	845240	5024485
432	847019	5021476
433	848810	5018544
434	850684	5016105
435	852643	5014167
436	854582	5012117
437	856486	5009860
438	858292	5007031
439	860103	5004239
440	861838	5001009
441	863555	4997678
442	865344	4994778
443	867260	4992609
444	869101	4990007
445	870993	4987704
446	872720	4984465
447	874603	4982116
448	876508	4979897
449	878306	4977068
450	880257	4975111
451	882294	4973643
452	884395	4972526
453	887397	4976465
454	889566	4975706
455	891766	4975117
456	893802	4973608
457	895808	4971933
458	897836	4970376
459	899825	4968603
460	901881	4967192
461	903738	4964692
462	905680	4962660
463	907689	4960994
464	909775	4959741
465	911729	4957773
466	913814	4956516
467	915817	4954805
468	917792	4952950
469	919776	4951139
470	921685	4948922
471	923591	4946691
472	925525	4944614
473	927452	4942502
474	929415	4940575
475	931378	4938654
476	933547	4937820
477	935514	4935914
478	937586	4934564
479	939569	4932738
480	941686	4931619
481	943766	4930296
482	945863	4929065
483	948116	4928638
484	950119	4926908
485	952171	4925430
486	954309	4924395
487	956230	4922235
488	958209	4920377
489	960021	4917660
490	961839	4914982
491	963774	4912900
492	965658	4910558
493	967494	4907976
494	969431	4905910
495	971594	4904985
496	973556	4903042
497	975596	4901488
498	977769	4900606
499	979732	4898664
500	981536	4895928
501	983190	4892448
502	985040	4889953
503	986970	4887851
504	988887	4885691
505	990706	4883045
506	992809	4881803
507	994585	4878951
508	996445	4876512
509	998306	4874087
510	1000076	4871216
511	1002162	4869883
512	1004110	4867882
513	1006188	4866508
514	1008196	4864791
515	1010111	4862631
516	1012093	4860787
517	1014025	4858707
518	1015865	4856187
519	1018091	4855513
