,target,params
0,-0.36874827518142494,"{'colsample_bytree': 0.6509531580558567, 'learning_rate': 0.04212325332567092, 'max_depth': 4.924531174340531, 'n_estimators': 15408.323203210144}"
1,-0.33742704601619844,"{'colsample_bytree': 0.3657927739625886, 'learning_rate': 0.03834096185650306, 'max_depth': 1.2023049208974559, 'n_estimators': 8462.467396064698}"
2,-0.36837779469953147,"{'colsample_bytree': 0.31481392712180145, 'learning_rate': 0.07415467645887054, 'max_depth': 9.916412181677908, 'n_estimators': 4830.756432610453}"
3,-0.3687557935730067,"{'colsample_bytree': 0.1730733935060904, 'learning_rate': 0.1372240452668597, 'max_depth': 6.591186274606272, 'n_estimators': 5557.645251109717}"
4,-0.3685060404688975,"{'colsample_bytree': 0.5195992689054758, 'learning_rate': 0.03248987271342388, 'max_depth': 1.6656180772888378, 'n_estimators': 18025.406165297605}"
5,-0.3687581104060353,"{'colsample_bytree': 0.8145663044316656, 'learning_rate': 0.16970823325761344, 'max_depth': 8.336867117076466, 'n_estimators': 19820.00154147516}"
6,-0.32148625526606345,"{'colsample_bytree': 0.6195464466469114, 'learning_rate': 0.1646157142369327, 'max_depth': 4.7918608965929685, 'n_estimators': 646.2144002817593}"
7,-0.36864355936277926,"{'colsample_bytree': 0.508722978842623, 'learning_rate': 0.0300119562098677, 'max_depth': 8.35498055399492, 'n_estimators': 13984.781918453089}"
8,-0.35433573966585796,"{'colsample_bytree': 0.6087568612057538, 'learning_rate': 0.06210318613521728, 'max_depth': 9.986263693206844, 'n_estimators': 2847.036855813126}"
9,-0.36875810157656086,"{'colsample_bytree': 0.6538741187213101, 'learning_rate': 0.10215689715930218, 'max_depth': 4.645243323039761, 'n_estimators': 14584.197020380316}"
10,-0.36875810447189433,"{'colsample_bytree': 0.3905325329359508, 'learning_rate': 0.08610365448418915, 'max_depth': 3.8706976329463396, 'n_estimators': 18949.714404911578}"
11,-0.36539394694012095,"{'colsample_bytree': 0.9268375260379909, 'learning_rate': 0.16463043180485412, 'max_depth': 1.306693823685416, 'n_estimators': 18873.1200959848}"
12,-0.36875810953164684,"{'colsample_bytree': 0.955395248423951, 'learning_rate': 0.1632522996184035, 'max_depth': 5.331502379827095, 'n_estimators': 19338.508599321813}"
13,-0.32281917249112774,"{'colsample_bytree': 0.475281175957289, 'learning_rate': 0.07057962392502311, 'max_depth': 1.1479853584397781, 'n_estimators': 859.8203211011282}"
14,-0.3306848962899699,"{'colsample_bytree': 0.14778068540049105, 'learning_rate': 0.03431255478113097, 'max_depth': 1.300448435115293, 'n_estimators': 4605.779738750746}"
15,-0.3255773794054796,"{'colsample_bytree': 0.5895180147837351, 'learning_rate': 0.0439389038975683, 'max_depth': 2.614103054794301, 'n_estimators': 3077.3029931450183}"
16,-0.3687580976996337,"{'colsample_bytree': 0.7147118130112838, 'learning_rate': 0.09911162461785208, 'max_depth': 7.914231378130863, 'n_estimators': 13409.399765485025}"
17,-0.3687581101520491,"{'colsample_bytree': 0.49714135953092764, 'learning_rate': 0.12309283558380298, 'max_depth': 5.1549095689041575, 'n_estimators': 19269.010772191617}"
