iter	RMSE
0	0.2222954542
1	0.2219033537
2	0.2215311448
3	0.2211362816
4	0.2209399004
5	0.2206105465
6	0.2202763528
7	0.2202637996
8	0.2199844125
9	0.2199116142
10	0.2197383137
11	0.2195698061
12	0.2191879704
13	0.2189320056
14	0.2186315644
15	0.2185272678
16	0.2185209335
17	0.2182653222
18	0.2180033863
19	0.2179850688
20	0.2177568763
21	0.2174460517
22	0.2171618784
23	0.2170102602
24	0.2168396331
25	0.2166936627
26	0.2164645774
27	0.2163061656
28	0.216096046
29	0.2158194974
30	0.2156030375
31	0.2154393343
32	0.2151900285
33	0.2151900275
34	0.2151750817
35	0.2149017122
36	0.2147098734
37	0.2144790882
38	0.2143261872
39	0.2142821315
40	0.2139506831
41	0.2139310865
42	0.2137248565
43	0.2137124504
44	0.2135214756
45	0.2134876909
46	0.2132961034
47	0.2132259561
48	0.2130939731
49	0.2130939723
50	0.2129484031
51	0.2127829434
52	0.2126012609
53	0.2123662814
54	0.212167877
55	0.2119570054
56	0.2119544032
57	0.2116991021
58	0.2116196825
59	0.2114001659
60	0.2112724553
61	0.2109902916
62	0.2108049733
63	0.2106469364
64	0.2105044267
65	0.2102830071
66	0.210064193
67	0.209902935
68	0.2098002137
69	0.2096499275
70	0.2096493267
71	0.2095382883
72	0.2093675284
73	0.2091550021
74	0.2089212937
75	0.2087064792
76	0.208680507
77	0.2085508222
78	0.2083723521
79	0.2082285283
80	0.2080545857
81	0.2078714473
82	0.2076894743
83	0.2076894741
84	0.2075987372
85	0.2074309863
86	0.2072336649
87	0.2070919278
88	0.2070881339
89	0.2070881336
90	0.2069056286
91	0.2067538605
92	0.206591444
93	0.2065912754
94	0.2064062559
95	0.2061600186
96	0.206076841
97	0.2059529336
98	0.2058515273
99	0.2057041567
100	0.2055225865
101	0.2053736104
102	0.2052197907
103	0.205062464
104	0.2050507202
105	0.2048729264
106	0.2046790346
107	0.2045408815
108	0.2044224355
109	0.2044160645
110	0.2042043348
111	0.204106855
112	0.2039303064
113	0.2038749239
114	0.2037912338
115	0.2037834844
116	0.2037834451
117	0.2036604332
118	0.2035402144
119	0.203382298
120	0.2032148172
121	0.203086252
122	0.2029611823
123	0.202823936
124	0.2026582777
125	0.2025630891
126	0.2025525457
127	0.2024066526
128	0.20235055
129	0.2021760739
130	0.202009213
131	0.2019010955
132	0.2017458282
133	0.2016215774
134	0.2016071259
135	0.2014620964
136	0.2014620964
137	0.2014569434
138	0.2012420396
139	0.2010792296
140	0.2009215363
141	0.2008414482
142	0.2006727553
143	0.2005101498
144	0.2003469383
145	0.2001928762
146	0.2001791622
147	0.2000414961
148	0.2000374952
149	0.1999471787
150	0.1998342218
151	0.1996861373
152	0.1995444008
153	0.1993959261
154	0.199294442
155	0.1991727258
156	0.1990025708
157	0.1989949598
158	0.1988663192
159	0.1988116358
160	0.1986774136
161	0.1985174942
162	0.1984886726
163	0.1984180515
164	0.1982952052
165	0.1981328684
166	0.1980224228
167	0.1978686376
168	0.1976568199
169	0.1975698534
170	0.1975008189
171	0.1973382641
172	0.1972212283
173	0.1971205102
174	0.1970942387
175	0.1970803263
176	0.1969454943
177	0.196825626
178	0.196733868
179	0.1965647054
180	0.1963870015
181	0.1962611711
182	0.1961533898
183	0.1961006815
184	0.1959967911
185	0.1959158536
186	0.1958228915
187	0.1957938292
188	0.1957170521
189	0.1956630126
190	0.1955146515
191	0.1954861681
192	0.1953584438
193	0.1952139763
194	0.1951114149
195	0.1949801792
196	0.1948315204
197	0.1947684804
198	0.1946205439
199	0.1944721037
200	0.1944682777
201	0.1943338943
202	0.194326082
203	0.1942263575
204	0.1940773768
205	0.1940773768
206	0.194027129
207	0.1939182281
208	0.1938314496
209	0.1937479294
210	0.1935989867
211	0.19345931
212	0.1933436006
213	0.1931820598
214	0.1930599927
215	0.1929355579
216	0.1927703139
217	0.1927628584
218	0.1926709151
219	0.1925514114
220	0.1924013671
221	0.1922539024
222	0.1922259899
223	0.1922247794
224	0.1921266079
225	0.1920351393
226	0.1919161496
227	0.1919046646
228	0.1917870725
229	0.1916813113
230	0.1916485622
231	0.1915417894
232	0.1914471086
233	0.1913457269
234	0.1912820098
235	0.1911581457
236	0.1911547624
237	0.1910460257
238	0.1909478131
239	0.1908383819
240	0.1907263779
241	0.1906145096
242	0.1905063056
243	0.1903501705
244	0.190336211
245	0.1902379017
246	0.1901215986
247	0.1899773719
248	0.1899653835
249	0.1899578824
250	0.1898533101
251	0.1897747872
252	0.1896290368
253	0.1895171952
254	0.1893951856
255	0.1892872646
256	0.1891937422
257	0.1890433061
258	0.1889184513
259	0.1887948047
260	0.1887660036
261	0.1886694987
262	0.1885748738
263	0.1885579543
264	0.1884323008
265	0.1884206342
266	0.1882968467
267	0.1882652909
268	0.1881369307
269	0.1879743687
270	0.1878138138
271	0.1878084341
272	0.1877175624
273	0.187619211
274	0.1875131859
275	0.1874200487
276	0.1873666743
277	0.1872926487
278	0.1872236193
279	0.1870827666
280	0.1870190523
281	0.1870190523
282	0.1869201821
283	0.1869012462
284	0.1867621025
285	0.1866502756
286	0.1865722802
287	0.1864780934
288	0.1864730605
289	0.1863816594
290	0.1863723172
291	0.1862649401
292	0.1861628577
293	0.1861549657
294	0.1860152734
295	0.1858946901
296	0.1858312153
297	0.185759975
298	0.1856636248
299	0.1855777766
300	0.1854448824
301	0.1853644887
302	0.1853644887
303	0.1852472948
304	0.1852296341
305	0.1851380987
306	0.1850709496
307	0.1849903512
308	0.18491119
309	0.1848962448
310	0.1848067538
311	0.1847434817
312	0.1846283221
313	0.1844979003
314	0.1844148116
315	0.1843506207
316	0.1843054454
317	0.1842846289
318	0.1841713127
319	0.1840684733
320	0.1840246249
321	0.1839193416
322	0.183783712
323	0.1836421556
324	0.1835589213
325	0.1834497291
326	0.1833598957
327	0.1832635844
328	0.183163919
329	0.1830528527
330	0.1830497274
331	0.1830162548
332	0.1829201697
333	0.1827868857
334	0.1826755763
335	0.1826655727
336	0.1825609948
337	0.1824492092
338	0.1823643494
339	0.182261548
340	0.1821693416
341	0.1821693416
342	0.1820580022
343	0.1820375913
344	0.1819775536
345	0.1819747454
346	0.1818488354
347	0.1818488354
348	0.1817246312
349	0.1816862923
350	0.1816822559
351	0.1816778708
352	0.1816662655
353	0.1816039445
354	0.1815098943
355	0.1813922125
356	0.1812740197
357	0.1811466199
358	0.1810460644
359	0.1809630636
360	0.1809548688
361	0.1809513717
362	0.1808746839
363	0.18080151
364	0.1807795226
365	0.1806859432
366	0.1806620668
367	0.1805570991
368	0.1804476222
369	0.1803317303
370	0.1802430215
371	0.1801312382
372	0.180003673
373	0.1799590851
374	0.1798589547
375	0.1798576985
376	0.1797411406
377	0.1796036111
378	0.1795208434
379	0.1794335548
380	0.1793201766
381	0.1792430151
382	0.1791240394
383	0.1791182253
384	0.1790118806
385	0.1788990962
386	0.1788242048
387	0.1787621
388	0.1787241865
389	0.1786291125
390	0.1785497341
391	0.1784406271
392	0.1784406271
393	0.17835445
394	0.1782716643
395	0.1782649943
396	0.1782144106
397	0.1781047502
398	0.1780165838
399	0.1779300863
400	0.1778197194
401	0.1777275051
402	0.1776632299
403	0.1776530508
404	0.1775505049
405	0.1775442206
406	0.1775349891
407	0.1774595726
408	0.1774550037
409	0.1774514455
410	0.1773707666
411	0.1773368026
412	0.1772041517
413	0.1770979115
414	0.1770066967
415	0.1769254824
416	0.1768024587
417	0.1766963633
418	0.1766963632
419	0.1766687253
420	0.1765563302
421	0.1764590035
422	0.1763707631
423	0.1762632582
424	0.1761557973
425	0.176154804
426	0.176092468
427	0.1759901397
428	0.1759106073
429	0.1758189087
430	0.1758051122
431	0.1757184058
432	0.1756342638
433	0.1755160438
434	0.1754390033
435	0.1753280445
436	0.1752472092
437	0.1751617252
438	0.1750401538
439	0.1750401538
440	0.1749595455
441	0.1749585794
442	0.1749355114
443	0.1749267957
444	0.1749246818
445	0.1748130936
446	0.1747144689
447	0.1746114028
448	0.1745430939
449	0.1744785825
450	0.1743747347
451	0.1742987767
452	0.1742987767
453	0.1741890321
454	0.1740662294
455	0.1739922998
456	0.1739758469
457	0.173897994
458	0.1737873156
459	0.1737011591
460	0.1736174932
461	0.1736163717
462	0.1735390975
463	0.1735378843
464	0.1734242097
465	0.1733420253
466	0.1733346538
467	0.1733328932
468	0.1733021469
469	0.1732113194
470	0.1731282801
471	0.1730463634
472	0.1730332421
473	0.1730292794
474	0.1730184168
475	0.1729053704
476	0.1728305835
477	0.172736642
478	0.1726318561
479	0.1725259526
480	0.1724352693
481	0.1724330823
482	0.1723945816
483	0.1722832782
484	0.1722712178
485	0.1722712178
486	0.1721852531
487	0.1721002826
488	0.1720810483
489	0.1719774866
490	0.1719324794
491	0.171831346
492	0.1717558921
493	0.1716703055
494	0.1716019828
495	0.1714954702
496	0.1713864663
497	0.1713864663
498	0.1713195483
499	0.1713027826
500	0.1712967928
501	0.1712947087
502	0.1712184161
503	0.1711233206
504	0.1710440167
505	0.1709548192
506	0.1708895869
507	0.1708006057
508	0.1707085947
509	0.1705731501
510	0.1704853774
511	0.1704262872
512	0.1704225578
513	0.1704200578
514	0.1704198171
515	0.1703957297
516	0.1702976313
517	0.1702198651
518	0.170128299
519	0.1701237362
520	0.1701200273
521	0.1700366953
522	0.1700138129
523	0.1699129251
524	0.1698475027
525	0.1697696529
526	0.1696770035
527	0.1696235813
528	0.1695736678
529	0.169492762
530	0.1694016185
531	0.1693204127
532	0.1693159693
533	0.1692950602
534	0.1692266193
535	0.1691404336
536	0.1690690762
537	0.1690031435
538	0.1689082824
539	0.1688393822
540	0.1688393822
541	0.1688175436
542	0.1688175436
543	0.1687578567
544	0.1687505746
545	0.1686458746
546	0.1685758394
547	0.1684879749
548	0.1684133809
549	0.1683307674
550	0.1682568667
551	0.1682521784
552	0.1681459586
553	0.1680298066
554	0.1679693663
555	0.167877656
556	0.1677982628
557	0.1677972374
558	0.1677096248
559	0.1676788086
560	0.1676773836
561	0.1676773835
562	0.1675860247
563	0.1675840443
564	0.167512337
565	0.1674391025
566	0.167372317
567	0.1673696018
568	0.1672744443
569	0.1672012953
570	0.1671607518
571	0.167077578
572	0.1669982761
573	0.1669264007
574	0.166872755
575	0.1668541657
576	0.1667891155
577	0.1667141452
578	0.1666517873
579	0.1665841944
580	0.1664930189
581	0.1663805106
582	0.166272893
583	0.1662070179
584	0.1661089705
585	0.1660132912
586	0.1659664275
587	0.1658958617
588	0.1658189302
589	0.1657634128
590	0.1656898627
591	0.1655957737
592	0.1655377821
593	0.1654649684
594	0.1654017879
595	0.1653200374
596	0.1652355878
597	0.1652353788
598	0.1651129149
599	0.1650713352
600	0.1649611847
601	0.1648798795
602	0.1647777043
603	0.1647232077
604	0.1646602145
605	0.1645615594
606	0.1644935868
607	0.164406997
608	0.1643367387
609	0.1642819592
610	0.1641929922
611	0.1641060823
612	0.1640150076
613	0.1639612357
614	0.1638841401
615	0.1638301139
616	0.1638187209
617	0.1637327868
618	0.1636523538
619	0.1636037435
620	0.163547751
621	0.1634884975
622	0.1633921174
623	0.1633880243
624	0.1633240378
625	0.1632552386
626	0.1631768086
627	0.163077925
628	0.1629896973
629	0.162924097
630	0.1628588594
631	0.1627945709
632	0.1627735093
633	0.1626846848
634	0.1626001372
635	0.1625164801
636	0.1624288834
637	0.1623584234
638	0.1622575297
639	0.1621516745
640	0.1620807582
641	0.1619838838
642	0.1619780147
643	0.1619040595
644	0.1619038644
645	0.1619036538
646	0.161836502
647	0.161741208
648	0.1616929513
649	0.1616508959
650	0.1615437721
651	0.1614579297
652	0.1613628382
653	0.161280811
654	0.1612207099
655	0.1611495607
656	0.1611495607
657	0.1610885632
658	0.1610083374
659	0.1610067681
660	0.1609167292
661	0.1608319788
662	0.160772353
663	0.1607154065
664	0.1606655205
665	0.1605942497
666	0.1605775657
667	0.1604922731
668	0.1604913701
669	0.1604826325
670	0.1604663126
671	0.1604382542
672	0.1604285115
673	0.1603410572
674	0.1602813854
675	0.1602073966
676	0.1601822146
677	0.1601095866
678	0.1600563064
679	0.1599573796
680	0.1598560635
681	0.1598497714
682	0.1598453459
683	0.1598009092
684	0.1597423209
685	0.1596139956
686	0.1595424243
687	0.1594729455
688	0.1594084063
689	0.1593524415
690	0.1592526705
691	0.1591995543
692	0.1591414776
693	0.1590815604
694	0.1590256443
695	0.1589734481
696	0.1589045024
697	0.1588250599
698	0.1587494648
699	0.1586841415
700	0.1586321019
701	0.1586318979
702	0.1585482865
703	0.1584789533
704	0.1584181223
705	0.158341914
706	0.1583349197
707	0.1582558845
708	0.158132651
709	0.1580777203
710	0.1579808148
711	0.1579054871
712	0.1578325668
713	0.1577576011
714	0.1577001772
715	0.1576349606
716	0.157577909
717	0.1575714114
718	0.1574751848
719	0.157402091
720	0.1573251849
721	0.1573250092
722	0.157297906
723	0.1572272805
724	0.1571723285
725	0.1571513306
726	0.1570994212
727	0.1570345782
728	0.1569495163
729	0.1569493668
730	0.1569088374
731	0.1568373038
732	0.1568373037
733	0.1567795899
734	0.156708235
735	0.1566700784
736	0.1565988234
737	0.156596984
738	0.1565208079
739	0.1564530581
740	0.1563632271
741	0.1563124919
742	0.1562365668
743	0.1561884171
744	0.1561799589
745	0.1561797845
746	0.1561244637
747	0.1560760769
748	0.156013891
749	0.1559613183
750	0.1559489398
751	0.1559017443
752	0.1558161491
753	0.1557564138
754	0.1557062092
755	0.1556850205
756	0.1555942004
757	0.1555759889
758	0.1555199357
759	0.1554783451
760	0.1554014479
761	0.1553106325
762	0.1552396541
763	0.1551815533
764	0.1551355739
765	0.1550443185
766	0.1550181099
767	0.1549727899
768	0.1549332766
769	0.1549001264
770	0.1548230537
771	0.1547693781
772	0.1546922335
773	0.1546165119
774	0.1545593815
775	0.1544786042
776	0.1544192053
777	0.1544109438
778	0.1543543957
779	0.1543199737
780	0.1542407415
781	0.1542407414
782	0.1542389788
783	0.1542389788
784	0.154205239
785	0.1541937545
786	0.1541206189
787	0.1540728378
788	0.1540340111
789	0.153959784
790	0.1539025854
791	0.1538753545
792	0.1537862898
793	0.1537295596
794	0.1536591326
795	0.1535885537
796	0.1535227549
797	0.1534697522
798	0.1534611456
799	0.1534245572
800	0.1533526546
801	0.1533033356
802	0.1532977391
803	0.1532419121
804	0.1531736594
805	0.153109214
806	0.1530955005
807	0.1530166761
808	0.1529204035
809	0.1528348014
810	0.1527879436
811	0.1527218665
