iter	Passed	Remaining
0	7	15738
1	15	15975
2	22	14950
3	28	14410
4	37	14787
5	44	14877
6	51	14776
7	52	13117
8	61	13630
9	63	12688
10	66	12099
11	74	12410
12	82	12658
13	90	12877
14	98	12988
15	100	12471
16	101	11843
17	109	12029
18	118	12325
19	119	11865
20	127	12042
21	134	12067
22	142	12234
23	150	12384
24	157	12450
25	165	12599
26	173	12707
27	177	12490
28	184	12564
29	192	12672
30	202	12848
31	209	12876
32	217	12950
33	218	12606
34	219	12297
35	225	12327
36	234	12419
37	240	12439
38	248	12492
39	249	12242
40	256	12266
41	257	12015
42	265	12064
43	266	11829
44	272	11825
45	273	11613
46	280	11638
47	281	11444
48	287	11444
49	288	11235
50	293	11227
51	300	11269
52	308	11326
53	314	11337
54	321	11386
55	329	11432
56	330	11252
57	338	11321
58	340	11188
59	347	11234
60	354	11278
61	362	11341
62	370	11400
63	377	11433
64	384	11456
65	392	11512
66	399	11523
67	406	11563
68	414	11608
69	426	11769
70	427	11619
71	433	11612
72	440	11626
73	448	11668
74	455	11690
75	462	11696
76	463	11571
77	469	11560
78	476	11579
79	482	11574
80	488	11567
81	494	11570
82	501	11584
83	502	11463
84	505	11396
85	513	11419
86	520	11444
87	527	11454
88	528	11341
89	528	11225
90	536	11248
91	546	11323
92	553	11354
93	554	11247
94	563	11297
95	576	11439
96	579	11369
97	586	11386
98	590	11348
99	598	11370
100	605	11377
101	612	11396
102	620	11420
103	627	11443
104	629	11355
105	635	11355
106	643	11379
107	650	11402
108	657	11407
109	658	11314
110	664	11301
111	667	11256
112	674	11267
113	676	11198
114	679	11141
115	680	11057
116	681	10969
117	689	10998
118	692	10947
119	700	10972
120	707	10988
121	715	11009
122	723	11035
123	730	11045
124	737	11061
125	740	11010
126	741	10937
127	749	10959
128	751	10900
129	758	10915
130	766	10930
131	771	10915
132	779	10938
133	786	10950
134	787	10876
135	793	10879
136	794	10802
137	795	10729
138	801	10727
139	807	10730
140	813	10729
141	821	10750
142	829	10770
143	836	10782
144	845	10814
145	853	10844
146	855	10780
147	863	10800
148	864	10736
149	872	10758
150	881	10796
151	892	10849
152	900	10868
153	907	10883
154	913	10878
155	922	10908
156	930	10922
157	931	10864
158	938	10867
159	941	10832
160	950	10852
161	958	10871
162	960	10824
163	965	10809
164	973	10829
165	981	10838
166	988	10848
167	996	10868
168	1004	10879
169	1011	10892
170	1018	10897
171	1026	10911
172	1033	10917
173	1042	10939
174	1044	10893
175	1045	10836
176	1054	10856
177	1062	10871
178	1071	10903
179	1079	10918
180	1088	10941
181	1098	10975
182	1113	11052
183	1115	11013
184	1122	11015
185	1129	11018
186	1137	11024
187	1138	10975
188	1143	10954
189	1145	10913
190	1152	10918
191	1155	10878
