,mean,std,sharpe,max_drawdown,mean_corr_with_cryus
prediction_target_nomi_v4_20,0.01853608986490792,0.02111171779127914,0.8780000778792542,0.07154309062425046,0.8247834135735804
prediction_target_tyler_v4_20,0.017374805699488696,0.021003894409658982,0.8272182939321295,0.07318641182984376,0.6951616337316873
prediction_target_victor_v4_20,0.017782080258385104,0.01922136282758446,0.9251206804580031,0.0874112529968567,0.8289360473026196
prediction_target_ralph_v4_20,0.017895072102968444,0.01997958407999249,0.8956678993577514,0.049116587366825115,0.8805940840009236
prediction_target_waldo_v4_20,0.017064725472849568,0.020704613427384163,0.8241991830805961,0.08090098612679508,0.8161942670074694
prediction_target_jerome_v4_20,0.012646494372944319,0.02061129566708195,0.6135710523595022,0.11546867875264044,0.775420859349501
prediction_target_janet_v4_20,0.00857816138616078,0.02060409427251125,0.4163328546601172,0.08458290502145749,0.693211748039465
prediction_target_ben_v4_20,0.011490567159539335,0.02021499166288441,0.568418100346611,0.09471105008786385,0.7457700555921756
prediction_target_alan_v4_20,0.00995361295701271,0.021958286764507978,0.45329642807566917,0.11307160793758064,0.6647797461942601
prediction_target_paul_v4_20,0.004786115771153589,0.010696198331112666,0.44745952000833145,0.042157155184367245,0.7553771150805813
prediction_target_george_v4_20,0.005915090808888214,0.01190977837794613,0.4966583441923195,0.08755157625489418,0.66510104521018
prediction_target_william_v4_20,0.013732291419337,0.02097341002280766,0.6547476735735266,0.10380961191958837,0.8331748625848023
prediction_target_arthur_v4_20,0.007532632533017062,0.02093393251158517,0.3598288343027945,0.09617522744104756,0.7239299275488627
prediction_target_thomas_v4_20,0.011816486302180795,0.020322950295731723,0.5814355755553131,0.09377278660189836,0.7903046788370375
prediction_target_cyrus_v4_20,0.018551245987405922,0.021032121216493945,0.8820435084245114,0.0797118588937189,1.0
prediction_target_caroline_v4_20,0.01826008275319474,0.020852547129369587,0.8756763689303205,0.08220468620139165,0.9277233035867778
prediction_target_sam_v4_20,0.01829778659507118,0.02097661459454119,0.8722945503242868,0.09284176879305717,0.9095976998376684
prediction_target_xerxes_v4_20,0.017640631589076368,0.02140300990657993,0.824212653550803,0.08226036422400185,0.9409070805971402
prediction_target_alpha_v4_20,0.01479649954428827,0.017164800529152455,0.8620257205528316,0.08889352206315793,0.7619510921825013
prediction_target_bravo_v4_20,0.01812844577287503,0.02028315672908346,0.8937684609457832,0.07084491838377716,0.8034901992719581
prediction_target_charlie_v4_20,0.014488338037624953,0.01832060071083511,0.7908222151829503,0.06974969449723556,0.7626797830487697
prediction_target_delta_v4_20,0.01623864019515667,0.019705350203307388,0.8240726517223298,0.06343525973178288,0.8092766191876134
prediction_target_echo_v4_20,0.017121057283457742,0.020088372062371282,0.8522869464135527,0.06678361022187485,0.8429597624317292
prediction_target_jeremy_v4_20,0.012639174623343576,0.020758115163660325,0.6088787215840304,0.11844490223992366,0.7794512917147852
