,feature_importance,feature_names
2,1.4514193372969497,pca2
0,1.199124340375392,pca0
4,1.1157007347491834,pca4
1,0.973665238168779,pca1
5,0.8131138448876132,pca5
12,0.74882773749907,pca12
3,0.6806632839005933,pca3
38,0.5528493988438676,pca38
97,0.5493609984483575,pca97
66,0.5050904172569487,pca66
10,0.4765535226029228,pca10
21,0.4652777384419852,pca21
94,0.4511425391646515,pca94
27,0.4333322255468066,pca27
29,0.42537351112453986,pca29
102,0.41377632311763907,pca102
108,0.4102110205907592,pca108
8,0.40835720468430947,pca8
76,0.38952495989920755,pca76
85,0.3793078899901519,pca85
82,0.3793067249665774,pca82
93,0.37742172660308104,pca93
35,0.37285382081326784,pca35
99,0.36926069122742516,pca99
88,0.36091217085897415,pca88
6,0.35951002018564676,pca6
126,0.35812848687945176,pca126
23,0.3574325201925255,pca23
36,0.3557184661056537,pca36
316,0.3452357085390527,pca316
59,0.3437309136312926,pca59
95,0.34156065172825484,pca95
130,0.3409254476427552,pca130
72,0.3387561449729023,pca72
34,0.3375212036369234,pca34
150,0.3351655579881716,pca150
70,0.33072000696290094,pca70
22,0.3276309336403666,pca22
157,0.3253921500615741,pca157
162,0.3249801089294528,pca162
131,0.3234448027123994,pca131
68,0.3231698717596183,pca68
147,0.3225163357248098,pca147
80,0.3215669538671058,pca80
17,0.32107729562814397,pca17
50,0.3209795229144336,pca50
383,0.3180921336466635,pca383
120,0.3126681085843328,pca120
398,0.31249692979340926,pca398
45,0.3118985252819643,pca45
87,0.31121758571675223,pca87
257,0.3102189188632072,pca257
57,0.309040735333004,pca57
67,0.3089820314017564,pca67
321,0.3083156080222107,pca321
91,0.30722814542228516,pca91
123,0.30654721385866057,pca123
210,0.3062983387589554,pca210
276,0.3043438141359561,pca276
168,0.30421398553460094,pca168
132,0.3022967234694927,pca132
113,0.30086431871746144,pca113
241,0.2968552764796794,pca241
142,0.2963793477763239,pca142
58,0.29584872745560153,pca58
176,0.28974323902099586,pca176
51,0.2874201785857937,pca51
75,0.28608993756185974,pca75
7,0.2856108541609833,pca7
84,0.2853090448642931,pca84
61,0.28412063304346213,pca61
140,0.28407500387220436,pca140
320,0.2837075582907011,pca320
189,0.2833657156840031,pca189
64,0.28226162598398485,pca64
11,0.27994545963586515,pca11
24,0.27961216912720366,pca24
244,0.27850550638242705,pca244
54,0.27824260997680456,pca54
163,0.27707560664774894,pca163
15,0.27648058836930994,pca15
212,0.27597336424598423,pca212
152,0.2737250511183512,pca152
390,0.27366996374880576,pca390
121,0.27106633601875885,pca121
39,0.2703539861551952,pca39
205,0.2691326515233603,pca205
186,0.26853577639821335,pca186
55,0.26825212741025767,pca55
192,0.26755089483696926,pca192
245,0.2670450460897309,pca245
267,0.2642721022269128,pca267
145,0.2635710516662601,pca145
160,0.26302675552250243,pca160
288,0.26257027600649874,pca288
49,0.26138791166613434,pca49
206,0.2601512066856218,pca206
315,0.25988113472172447,pca315
98,0.259136164059753,pca98
148,0.2590808099014661,pca148
369,0.25856280561992206,pca369
37,0.25806561624440155,pca37
79,0.2573788011975052,pca79
90,0.25358089699180214,pca90
203,0.25355207849472583,pca203
283,0.25349326443460996,pca283
19,0.2529961943192849,pca19
25,0.252551013430299,pca25
13,0.2518898398235212,pca13
239,0.25087914979244463,pca239
262,0.25000909669710814,pca262
280,0.2489453965558249,pca280
16,0.24736617628310223,pca16
304,0.24644103848069515,pca304
81,0.2456488906331786,pca81
197,0.24540712503074472,pca197
26,0.24511644165478622,pca26
135,0.24479088575306418,pca135
173,0.24404146408002053,pca173
60,0.24318295292256242,pca60
181,0.24272782336374238,pca181
217,0.24242216789801382,pca217
224,0.24226873237513577,pca224
174,0.24214818460182494,pca174
362,0.241959211351109,pca362
136,0.24181343813957248,pca136
414,0.2409810437454729,pca414
100,0.23971936316781786,pca100
170,0.23903704850847404,pca170
114,0.23880475995358488,pca114
354,0.2384914358521138,pca354
317,0.2381457318146424,pca317
32,0.238084267904568,pca32
178,0.23797021381525515,pca178
40,0.2378123638975137,pca40
48,0.23765569552534715,pca48
366,0.2375694628427472,pca366
375,0.23736703589545463,pca375
357,0.23617913541615346,pca357
96,0.23616159856642505,pca96
402,0.23596102476734027,pca402
74,0.235726385004664,pca74
42,0.23558401950896168,pca42
104,0.2339561545749833,pca104
153,0.23376128173026195,pca153
183,0.2334997836831669,pca183
296,0.2333509497980328,pca296
115,0.23259518662749215,pca115
334,0.23173418382460415,pca334
289,0.23156182027179936,pca289
220,0.23154107822268177,pca220
394,0.23084279897238394,pca394
43,0.23015350584535302,pca43
106,0.23010253197942362,pca106
360,0.22982877305750612,pca360
159,0.2297247863622622,pca159
134,0.22968693674221768,pca134
105,0.22925677969943334,pca105
177,0.22824825415513547,pca177
399,0.22663554105672226,pca399
333,0.22645078883051048,pca333
393,0.22635784156484104,pca393
33,0.2261816121743875,pca33
71,0.22609782972566211,pca71
149,0.22573509648314458,pca149
324,0.22564144551674284,pca324
355,0.22525019960035558,pca355
133,0.22425558958483952,pca133
300,0.2241050693762612,pca300
165,0.22402488792954106,pca165
31,0.2234060444716187,pca31
161,0.2232134433471008,pca161
312,0.22320864939777674,pca312
238,0.22301059045607124,pca238
346,0.22267772545666306,pca346
28,0.22263256225030545,pca28
18,0.22249584363330463,pca18
349,0.2223928104769925,pca349
116,0.22207352636891595,pca116
325,0.22115231351969514,pca325
