,target,params
0,-1.1744708314853711,"{'colsample_bytree': 0.899569191868335, 'learning_rate': 0.05733209919745238, 'max_depth': 8.472286227227286, 'n_estimators': 12994.876233408384}"
1,-1.1742201948955837,"{'colsample_bytree': 0.9337687376280024, 'learning_rate': 0.03483970081978809, 'max_depth': 6.671106224423465, 'n_estimators': 19002.02470050203}"
2,-0.9153108212183207,"{'colsample_bytree': 0.6562676417999268, 'learning_rate': 0.12302846070253248, 'max_depth': 1.1959175641488349, 'n_estimators': 3119.7496776956655}"
3,-1.1746685949736928,"{'colsample_bytree': 0.7398494989489629, 'learning_rate': 0.12304363594197791, 'max_depth': 7.7984035440260975, 'n_estimators': 17928.435169550015}"
4,-1.174665769125274,"{'colsample_bytree': 0.979417613415981, 'learning_rate': 0.0780780052786992, 'max_depth': 3.0589376073022265, 'n_estimators': 16367.228048233974}"
5,-0.981773899094805,"{'colsample_bytree': 0.9511952883769883, 'learning_rate': 0.03432555152486983, 'max_depth': 3.4258138864149617, 'n_estimators': 2700.6574642262854}"
6,-1.1746267624215176,"{'colsample_bytree': 0.4669960291766534, 'learning_rate': 0.12596660721996591, 'max_depth': 8.418386152903414, 'n_estimators': 6908.894952920858}"
7,-1.1680930118865507,"{'colsample_bytree': 0.5558067891650349, 'learning_rate': 0.11997864026538126, 'max_depth': 1.5480542351006905, 'n_estimators': 4472.002242357582}"
8,-1.1746641950757661,"{'colsample_bytree': 0.6211669178774956, 'learning_rate': 0.10843955692140528, 'max_depth': 3.5647755223282824, 'n_estimators': 10285.413054817049}"
9,-1.1515836707261922,"{'colsample_bytree': 0.7653171782909174, 'learning_rate': 0.07533940098137153, 'max_depth': 3.623334314355284, 'n_estimators': 3253.96130216364}"
10,-1.1686953375101634,"{'colsample_bytree': 0.6238320684716231, 'learning_rate': 0.15254581938937095, 'max_depth': 2.6523509525522626, 'n_estimators': 2699.062756794727}"
11,-1.1745663843796665,"{'colsample_bytree': 0.4004621482402233, 'learning_rate': 0.07662137380217976, 'max_depth': 3.9643179772727297, 'n_estimators': 10512.249171990326}"
12,-1.102957527882338,"{'colsample_bytree': 0.4739824758671779, 'learning_rate': 0.017251555354244375, 'max_depth': 5.624344129159272, 'n_estimators': 8614.809119048059}"
13,-1.1746685982700629,"{'colsample_bytree': 0.4452618767470051, 'learning_rate': 0.17141187767399613, 'max_depth': 6.042729505297673, 'n_estimators': 16448.138099387474}"
14,-0.9508288573513031,"{'colsample_bytree': 0.46051085880406606, 'learning_rate': 0.024784837350988728, 'max_depth': 6.415496935844361, 'n_estimators': 2451.7003715367314}"
15,-1.1552058754481846,"{'colsample_bytree': 0.3681465774664464, 'learning_rate': 0.1495667504701055, 'max_depth': 8.338656897310354, 'n_estimators': 1674.283720223808}"
16,-1.174668597786114,"{'colsample_bytree': 0.6682560061525886, 'learning_rate': 0.12784603015710197, 'max_depth': 8.297820778678744, 'n_estimators': 13661.174401008262}"
17,-1.1746685975297815,"{'colsample_bytree': 0.44869848649085864, 'learning_rate': 0.1324857893097292, 'max_depth': 5.191455581964397, 'n_estimators': 13491.169389241233}"
18,-1.1722318597582944,"{'colsample_bytree': 0.11277985138794513, 'learning_rate': 0.07231696049369381, 'max_depth': 2.9624879742348025, 'n_estimators': 7313.579057665755}"
19,-1.174668601449,"{'colsample_bytree': 0.8132314369115331, 'learning_rate': 0.14335412342676665, 'max_depth': 4.555374154913904, 'n_estimators': 16662.367339855016}"
20,-1.1746617797680456,"{'colsample_bytree': 0.8822352274837012, 'learning_rate': 0.11233464463321674, 'max_depth': 2.8399606277686575, 'n_estimators': 10361.860114512416}"
21,-1.1746657111946066,"{'colsample_bytree': 0.798928754850442, 'learning_rate': 0.12806572588412807, 'max_depth': 8.971679324085372, 'n_estimators': 8946.26753707682}"
22,-1.1746647002869426,"{'colsample_bytree': 0.5255544087303535, 'learning_rate': 0.17337032028472046, 'max_depth': 7.127288966135892, 'n_estimators': 6270.095879841517}"
23,-1.1404209898059896,"{'colsample_bytree': 0.575596928147239, 'learning_rate': 0.10468178730550062, 'max_depth': 1.2220900107603367, 'n_estimators': 19147.49781557687}"
24,-1.1746491506274541,"{'colsample_bytree': 0.23162759875243885, 'learning_rate': 0.14193977752575174, 'max_depth': 8.295778416910967, 'n_estimators': 6672.219391915127}"
25,-1.174594729364707,"{'colsample_bytree': 0.9665761499183259, 'learning_rate': 0.19154330471328437, 'max_depth': 3.009724650864232, 'n_estimators': 4582.484547000397}"
26,-0.8321319720526936,"{'colsample_bytree': 0.9634567477464993, 'learning_rate': 0.033859036824940854, 'max_depth': 6.774744324047414, 'n_estimators': 1043.7985733540993}"
27,-1.1746686009703733,"{'colsample_bytree': 0.2828132599176938, 'learning_rate': 0.16740618290004147, 'max_depth': 3.3320960667436657, 'n_estimators': 16838.151778878837}"
28,-1.1746535099932562,"{'colsample_bytree': 0.6770315952803128, 'learning_rate': 0.18513736342713855, 'max_depth': 2.1232176103397435, 'n_estimators': 7135.972172913707}"
29,-1.17465697483038,"{'colsample_bytree': 0.7425502531219379, 'learning_rate': 0.06550852045635805, 'max_depth': 6.88468193206831, 'n_estimators': 16018.69521398553}"
30,-1.1287153007116038,"{'colsample_bytree': 0.1303226504546854, 'learning_rate': 0.1130908435235317, 'max_depth': 1.032808881315817, 'n_estimators': 15167.25720704502}"
31,-1.149154162366943,"{'colsample_bytree': 0.1273710228722041, 'learning_rate': 0.16197842360551207, 'max_depth': 1.2551088298805722, 'n_estimators': 13334.184368360606}"
32,-1.094096980371185,"{'colsample_bytree': 0.1868867488413255, 'learning_rate': 0.09172181159312813, 'max_depth': 2.08275796424691, 'n_estimators': 2487.015664992424}"
33,-1.171835912836578,"{'colsample_bytree': 0.38482959256236104, 'learning_rate': 0.05631358207850721, 'max_depth': 2.812136194662704, 'n_estimators': 9173.215396089034}"
34,-0.5640010221980032,"{'colsample_bytree': 0.4992153603713264, 'learning_rate': 0.013186615648940178, 'max_depth': 8.587534546994542, 'n_estimators': 426.94048432986136}"
